Time,MPD,LN-MPD
2014-6-26 6:30,1128,7.028201432
2014-6-26 10:30,1060,6.966024187
2014-6-26 14:30,1090,6.993932975
2014-6-26 18:30,1011,6.918695219
2014-6-26 22:30,667,6.502790046
2014-6-27 2:30,715,6.572282543
2014-6-27 6:30,751,6.621405652
2014-6-27 10:30,712,6.568077911
2014-6-27 14:30,1102,7.00488199
2014-6-27 18:30,1060,6.966024187
2014-6-27 22:30,1477,7.297768283
2014-6-28 2:30,1340,7.200424893
2014-6-28 6:30,1297,7.167809184
2014-6-28 10:30,1083,6.987490247
2014-6-28 14:30,1072,6.977281342
2014-6-28 18:30,943,6.849066283
2014-6-28 22:30,927,6.831953566
2014-6-29 2:30,688,6.533788838
2014-6-29 6:30,1111,7.01301579
2014-6-29 10:30,1061,6.966967139
2014-6-29 14:30,1327,7.190676034
2014-6-29 18:30,1540,7.339537695
2014-6-29 22:30,1477,7.297768283
2014-6-30 2:30,1535,7.33628566
2014-6-30 6:30,1642,7.40367029
2014-7-1 2:30,675,6.514712691
2014-7-1 6:30,731,6.59441346
2014-7-1 10:30,839,6.732210706
2014-7-1 14:30,791,6.673297968
2014-7-1 18:30,595,6.388561406
2014-7-1 22:30,781,6.66057515
2014-7-2 2:30,623,6.434546519
2014-7-2 6:30,619,6.428105273
2014-7-2 10:30,685,6.529418838
2014-7-2 14:30,667,6.502790046
2014-7-2 18:30,688,6.533788838
2014-7-2 22:30,757,6.629363253
2014-7-3 2:30,458,6.126869184
2014-7-3 6:30,704,6.556778356
2014-7-3 10:30,597,6.391917113
2014-7-3 14:30,639,6.459904454
2014-7-3 18:30,672,6.510258341
2014-7-3 22:30,838,6.7310181
2014-7-4 2:30,986,6.893656355
2014-7-4 6:30,890,6.791221463
2014-7-4 10:30,766,6.64118217
2014-7-4 14:30,942,6.848005275
2014-7-4 18:30,879,6.778784898
2014-7-4 22:30,814,6.701960366
2014-7-5 2:30,596,6.390240667
2014-7-5 6:30,629,6.444131257
2014-7-5 10:30,600,6.396929655
2014-7-5 14:30,642,6.464588304
2014-7-5 18:30,449,6.107022888
2014-7-5 22:30,608,6.410174882
2014-7-6 2:30,771,6.647688374
2014-7-6 6:30,903,6.805722553
2014-7-6 10:30,515,6.244166901
2014-7-6 14:30,475,6.163314804
2014-7-6 18:30,453,6.115892125
2014-7-6 22:30,508,6.230481448
2014-7-7 2:30,377,5.932245187
2014-7-7 6:30,347,5.84932478
2014-7-7 10:30,444,6.095824562
2014-7-7 14:30,557,6.32256524
2014-7-7 18:30,470,6.152732695
2014-7-7 22:30,471,6.154858094
2014-7-8 2:30,393,5.973809612
2014-7-8 6:30,334,5.811140993
2014-7-8 10:30,407,6.008813185
2014-7-8 14:30,481,6.17586727
2014-7-8 18:30,557,6.32256524
2014-7-8 22:30,639,6.459904454
2014-7-9 2:30,615,6.421622268
2014-7-9 6:30,535,6.282266747
2014-7-9 10:30,400,5.991464547
2014-7-9 14:30,582,6.366470448
2014-7-9 18:30,561,6.329720906
2014-7-9 22:30,709,6.563855527
2014-7-10 2:30,626,6.439350371
2014-7-10 6:30,582,6.366470448
2014-7-10 10:30,717,6.575075841
2014-7-10 14:30,642,6.464588304
2014-7-10 18:30,754,6.625392368
2014-7-10 22:30,747,6.616065185
2014-7-11 2:30,514,6.242223265
2014-7-11 6:30,528,6.269096284
2014-7-11 10:30,627,6.440946541
2014-7-11 14:30,596,6.390240667
2014-7-11 18:30,571,6.34738921
2014-7-11 22:30,656,6.486160789
2014-7-12 2:30,694,6.542471961
2014-7-12 6:30,656,6.486160789
2014-7-12 10:30,318,5.762051383
2014-7-12 14:30,683,6.52649486
2014-7-12 18:30,633,6.450470422
2014-7-12 22:30,512,6.238324625
2014-7-13 2:30,475,6.163314804
2014-7-13 6:30,512,6.238324625
2014-7-13 10:30,620,6.429719478
2014-7-13 14:30,742,6.609349243
2014-7-13 18:30,701,6.552507887
2014-7-13 22:30,822,6.711740395
2014-7-14 2:30,836,6.728628613
2014-7-14 6:30,869,6.767343125
2014-7-14 10:30,625,6.43775165
2014-7-14 14:30,626,6.439350371
2014-7-14 18:30,743,6.610696045
2014-7-14 22:30,855,6.751101469
2014-7-15 2:30,823,6.712956201
2014-7-15 6:30,775,6.652863029
2014-7-15 10:30,826,6.716594774
2014-7-15 14:30,832,6.723832441
2014-7-15 18:30,777,6.65544035
2014-7-15 22:30,753,6.624065228
2014-7-16 2:30,778,6.656726524
2014-7-16 6:30,737,6.602587892
2014-7-16 10:30,883,6.783325201
2014-7-16 14:30,985,6.892641641
2014-7-16 18:30,967,6.874198495
2014-7-16 22:30,937,6.842683282
2014-7-17 2:30,762,6.635946556
2014-7-17 6:30,991,6.898714534
2014-7-17 10:30,988,6.895682698
2014-7-17 14:30,1027,6.93439721
